time,v(source),v(launch),v(pin),v(die),i(vsource),i(vpin),i(lpackage),i(vccurrent),i(vgc),i(vpc),i(vog),i(vop)
0.0,0.0,0.2636731633178219,0.26367316331820967,0.26977456031738406,0.007755093038759468,-0.0077550930387594655,-0.0077550930387594655,5.551115123125783e-17,-8.214582287991985e-10,4.847e-10,0.0027483501119674927,-0.010503442813968743
2e-14,0.0,0.26367316331797885,0.26367316331820934,0.2697745603173841,0.007755093038764084,-0.0077550930387672145,-0.007755093038759467,1.1102230246251565e-16,-8.214582287991983e-10,4.847e-10,0.002748350111967493,-0.010503442813968741
4e-14,0.0,0.2636731633179789,0.263673163318209,0.26977456031738417,0.007755093038764085,-0.0077550930387672076,-0.007755093038759468,1.6653345369377348e-16,-8.214582287991981e-10,4.847e-10,0.002748350111967494,-0.010503442813968741
8e-14,0.0,0.26367316331797885,0.2636731633182083,0.2697745603173844,0.007755093038764084,-0.007755093038767193,-0.007755093038759471,1.1102230246251565e-16,-8.214582287991974e-10,4.847e-10,0.002748350111967496,-0.010503442813968741
1.6e-13,0.0,0.26367316331797885,0.26367316331820695,0.26977456031738467,0.007755093038764084,-0.007755093038767167,-0.007755093038759474,0.0,-8.214582287991964e-10,4.847e-10,0.0027483501119674987,-0.01050344281396874
3.2e-13,0.0,0.26367316331797885,0.26367316331820456,0.2697745603173847,0.007755093038764084,-0.007755093038767119,-0.007755093038759474,5.551115123125783e-17,-8.214582287991962e-10,4.847e-10,0.0027483501119674996,-0.010503442813968738
6.4e-13,0.0,0.2636731633179788,0.2636731633181998,0.2697745603173848,0.0077550930387640825,-0.007755093038767024,-0.007755093038759475,0.0,-8.214582287991961e-10,4.847e-10,0.0027483501119675,-0.010503442813968738
1.28e-12,0.0,0.2636731633179788,0.2636731633181901,0.2697745603173847,0.0077550930387640825,-0.00775509303876683,-0.007755093038759478,5.551115123125783e-17,-8.214582287991962e-10,4.847e-10,0.0027483501119674996,-0.010503442813968738
2.56e-12,0.0,0.2636731633179788,0.26367316331817164,0.2697745603173847,0.0077550930387640825,-0.00775509303876646,-0.007755093038759497,0.0,-8.214582287991962e-10,4.847e-10,0.0027483501119674996,-0.010503442813968738
4.56e-12,0.0,0.2636731633179789,0.2636731633181449,0.2697745603173847,0.007755093038764085,-0.0077550930387659265,-0.007755093038759556,0.0,-8.214582287991962e-10,4.847e-10,0.0027483501119674996,-0.010503442813968738
6.5599999999999995e-12,0.0,0.2636731633179788,0.2636731633181202,0.26977456031738467,0.0077550930387640825,-0.007755093038765432,-0.0077550930387596416,-1.1102230246251565e-16,-8.214582287991964e-10,4.847e-10,0.0027483501119674987,-0.01050344281396874
8.559999999999999e-12,0.0,0.2636731633179789,0.26367316331809787,0.2697745603173844,0.007755093038764085,-0.007755093038764986,-0.007755093038759754,-2.7755575615628914e-16,-8.214582287991974e-10,4.847e-10,0.002748350111967496,-0.010503442813968741
1.0559999999999999e-11,0.0,0.2636731633179788,0.2636731633180778,0.269774560317384,0.0077550930387640825,-0.007755093038764583,-0.007755093038759891,-3.885780586188048e-16,-8.214582287991987e-10,4.847e-10,0.0027483501119674922,-0.010503442813968743
1.2559999999999998e-11,0.0,0.26367316331797885,0.2636731633180599,0.26977456031738345,0.007755093038764084,-0.0077550930387642256,-0.007755093038760051,-4.996003610813204e-16,-8.214582287992006e-10,4.847e-10,0.0027483501119674866,-0.010503442813968745
1.456e-11,0.0,0.2636731633179788,0.263673163318044,0.2697745603173827,0.0077550930387640825,-0.007755093038763908,-0.007755093038760229,-7.216449660063518e-16,-8.214582287992032e-10,4.847e-10,0.002748350111967479,-0.010503442813968752
1.656e-11,0.0,0.26367316331797885,0.26367316331803003,0.2697745603173816,0.007755093038764084,-0.007755093038763629,-0.00775509303876042,-8.326672684688674e-16,-8.214582287992068e-10,4.847e-10,0.0027483501119674684,-0.010503442813968757
1.856e-11,0.0,0.2636731633179788,0.26367316331801793,0.2697745603173803,0.0077550930387640825,-0.007755093038763387,-0.0077550930387606225,-9.992007221626409e-16,-8.214582287992112e-10,4.847e-10,0.002748350111967455,-0.010503442813968766
2.0559999999999998e-11,0.0,0.2636731633179788,0.2636731633180076,0.2697745603173787,0.0077550930387640825,-0.007755093038763181,-0.007755093038760838,-1.2212453270876722e-15,-8.214582287992166e-10,4.847e-10,0.002748350111967439,-0.010503442813968776
2.2559999999999998e-11,0.0,0.26367316331797896,0.2636731633179989,0.2697745603173768,0.007755093038764087,-0.007755093038763007,-0.007755093038761063,-1.4432899320127035e-15,-8.21458228799223e-10,4.847e-10,0.0027483501119674202,-0.010503442813968788
2.4559999999999997e-11,0.0,0.26367316331797896,0.2636731633179918,0.2697745603173747,0.007755093038764087,-0.007755093038762865,-0.007755093038761294,-1.609823385706477e-15,-8.2145822879923e-10,4.847e-10,0.002748350111967399,-0.010503442813968804
2.6559999999999997e-11,0.0,0.26367316331797885,0.26367316331798607,0.2697745603173723,0.007755093038764084,-0.007755093038762749,-0.007755093038761528,-1.7763568394002505e-15,-8.214582287992381e-10,4.847e-10,0.002748350111967375,-0.010503442813968818
2.8559999999999996e-11,0.0,0.2636731633179788,0.26367316331798163,0.2697745603173696,0.0077550930387640825,-0.007755093038762661,-0.007755093038761766,-2.0539125955565396e-15,-8.214582287992471e-10,4.847e-10,0.0027483501119673487,-0.010503442813968835
