time,v(source),v(launch),v(pin),v(die),i(vsource),i(vpin),i(lpackage),i(vccurrent),i(vgc),i(vpc),i(vog),i(vop)
0.0,0.0,0.22411924824062543,0.22411924824095505,0.22930536764524312,0.006591742595312512,-0.006591742595312512,-0.006591742595312512,1.1102230246251565e-16,-2.8121166740286256e-08,4.622e-08,0.002154367704394951,-0.008746128398540776
2e-14,0.0,0.22411924824075885,0.2241192482409547,0.22930536764524315,0.006591742595316437,-0.006591742595319096,-0.006591742595312512,5.551115123125783e-17,-2.8121166740286253e-08,4.622e-08,0.0021543677043949516,-0.008746128398540776
4e-14,0.0,0.2241192482407589,0.22411924824095436,0.22930536764524315,0.006591742595316438,-0.006591742595319089,-0.006591742595312512,5.551115123125783e-17,-2.8121166740286253e-08,4.622e-08,0.0021543677043949516,-0.008746128398540776
8e-14,0.0,0.22411924824075882,0.2241192482409537,0.22930536764524315,0.006591742595316436,-0.006591742595319076,-0.006591742595312512,5.551115123125783e-17,-2.8121166740286253e-08,4.622e-08,0.0021543677043949516,-0.008746128398540776
1.6e-13,0.0,0.22411924824075885,0.22411924824095247,0.22930536764524312,0.006591742595316437,-0.006591742595319051,-0.006591742595312512,0.0,-2.8121166740286256e-08,4.622e-08,0.002154367704394951,-0.008746128398540776
3.2e-13,0.0,0.22411924824075885,0.22411924824095045,0.22930536764524315,0.006591742595316437,-0.006591742595319012,-0.006591742595312513,5.551115123125783e-17,-2.8121166740286253e-08,4.622e-08,0.0021543677043949516,-0.008746128398540776
6.4e-13,0.0,0.22411924824075882,0.2241192482409463,0.22930536764524315,0.006591742595316436,-0.006591742595318929,-0.006591742595312516,5.551115123125783e-17,-2.8121166740286253e-08,4.622e-08,0.0021543677043949516,-0.008746128398540776
1.28e-12,0.0,0.22411924824075885,0.2241192482409382,0.22930536764524317,0.006591742595316437,-0.006591742595318766,-0.00659174259531252,0.0,-2.8121166740286253e-08,4.622e-08,0.0021543677043949516,-0.008746128398540776
2.56e-12,0.0,0.22411924824075885,0.22411924824092277,0.2293053676452433,0.006591742595316437,-0.006591742595318457,-0.0065917425953125365,-5.551115123125783e-17,-2.8121166740286246e-08,4.622e-08,0.002154367704394953,-0.008746128398540774
4.56e-12,0.0,0.22411924824075885,0.2241192482408999,0.22930536764524334,0.006591742595316437,-0.006591742595318002,-0.006591742595312584,-5.551115123125783e-17,-2.8121166740286246e-08,4.622e-08,0.0021543677043949533,-0.008746128398540774
