time,v(source),v(launch),v(pin),v(die),i(vsource),i(vpin),i(lpackage),i(vccurrent),i(vgc),i(vpc),i(vog),i(vop)
0.0,0.0,0.2372344607826071,0.23723446078288615,0.24272406620539572,0.0069774841406649146,-0.006977484140664915,-0.006977484140664915,5.551115123125783e-17,-2.072200416008705e-09,3.868e-09,0.0023097517410066116,-0.009287237677471194
2e-14,0.0,0.23723446078273536,0.23723446078288588,0.24272406620539574,0.006977484140668687,-0.006977484140671884,-0.006977484140664916,5.551115123125783e-17,-2.0722004160087044e-09,3.868e-09,0.002309751741006612,-0.009287237677471194
4e-14,0.0,0.23723446078273536,0.23723446078288554,0.24272406620539574,0.006977484140668687,-0.006977484140671875,-0.006977484140664916,5.551115123125783e-17,-2.0722004160087044e-09,3.868e-09,0.002309751741006612,-0.009287237677471194
8e-14,0.0,0.23723446078273536,0.237234460782885,0.24272406620539574,0.006977484140668687,-0.006977484140671861,-0.006977484140664916,5.551115123125783e-17,-2.0722004160087044e-09,3.868e-09,0.002309751741006612,-0.009287237677471194
1.6e-13,0.0,0.23723446078273536,0.23723446078288385,0.24272406620539577,0.006977484140668687,-0.0069774841406718335,-0.006977484140664915,5.551115123125783e-17,-2.0722004160087044e-09,3.868e-09,0.002309751741006612,-0.009287237677471194
3.2e-13,0.0,0.23723446078273536,0.23723446078288166,0.24272406620539588,0.006977484140668687,-0.00697748414067178,-0.0069774841406649146,1.1102230246251565e-16,-2.0722004160087036e-09,3.868e-09,0.002309751741006614,-0.009287237677471194
6.4e-13,0.0,0.23723446078273536,0.23723446078287724,0.242724066205396,0.006977484140668687,-0.006977484140671669,-0.006977484140664915,5.551115123125783e-17,-2.072200416008703e-09,3.868e-09,0.0023097517410066142,-0.009287237677471194
1.28e-12,0.0,0.23723446078273536,0.23723446078286853,0.24272406620539616,0.006977484140668687,-0.006977484140671451,-0.006977484140664918,5.551115123125783e-17,-2.0722004160087023e-09,3.868e-09,0.002309751741006616,-0.009287237677471192
2.56e-12,0.0,0.23723446078273538,0.23723446078285226,0.2427240662053964,0.006977484140668688,-0.006977484140671043,-0.006977484140664939,5.551115123125783e-17,-2.0722004160087007e-09,3.868e-09,0.002309751741006618,-0.009287237677471189
4.56e-12,0.0,0.23723446078273536,0.23723446078282903,0.2427240662053966,0.006977484140668687,-0.006977484140670464,-0.006977484140664989,0.0,-2.0722004160086994e-09,3.868e-09,0.00230975174100662,-0.009287237677471187
6.5599999999999995e-12,0.0,0.2372344607827353,0.23723446078280816,0.2427240662053966,0.006977484140668685,-0.006977484140669942,-0.006977484140665066,-5.551115123125783e-17,-2.0722004160086994e-09,3.868e-09,0.00230975174100662,-0.009287237677471185
8.559999999999999e-12,0.0,0.23723446078273536,0.23723446078278956,0.24272406620539652,0.006977484140668687,-0.006977484140669477,-0.006977484140665166,-1.6653345369377348e-16,-2.0722004160087e-09,3.868e-09,0.0023097517410066194,-0.009287237677471187
1.0559999999999999e-11,0.0,0.2372344607827353,0.23723446078277322,0.24272406620539624,0.006977484140668685,-0.006977484140669068,-0.006977484140665283,-2.7755575615628914e-16,-2.0722004160087015e-09,3.868e-09,0.002309751741006617,-0.009287237677471192
1.2559999999999998e-11,0.0,0.23723446078273538,0.23723446078275898,0.24272406620539577,0.006977484140668688,-0.006977484140668712,-0.0069774841406654185,-4.440892098500626e-16,-2.0722004160087044e-09,3.868e-09,0.002309751741006612,-0.009287237677471194
1.456e-11,0.0,0.23723446078273536,0.23723446078274665,0.2427240662053951,0.006977484140668687,-0.006977484140668405,-0.006977484140665568,-4.996003610813204e-16,-2.072200416008708e-09,3.868e-09,0.0023097517410066064,-0.0092872376774712
1.656e-11,0.0,0.23723446078273536,0.237234460782736,0.24272406620539425,0.006977484140668687,-0.0069774841406681385,-0.006977484140665729,-6.661338147750939e-16,-2.072200416008713e-09,3.868e-09,0.0023097517410065977,-0.009287237677471204
