time,v(source),v(launch),v(pin),v(die),i(vsource),i(vpin),i(lpackage),i(vccurrent),i(vgc),i(vpc),i(vog),i(vop)
0.0,0.0,3.9099949674058966e-08,3.909994967411647e-08,4.0004722509574204e-08,1.1499985198252637e-09,-1.1499985198252637e-09,-1.1499985198252637e-09,0.0,-5.017998519825267e-09,3.868e-09,0.0,0.0
2e-14,0.0,3.909994967408224e-08,3.90999496741164e-08,4.000472250957422e-08,1.1499985198259482e-09,-1.1499985198264122e-09,-1.1499985198252639e-09,1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
4e-14,0.0,3.9099949674082246e-08,3.909994967411635e-08,4.000472250957423e-08,1.1499985198259484e-09,-1.1499985198264112e-09,-1.1499985198252639e-09,6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
8e-14,0.0,3.909994967408223e-08,3.909994967411626e-08,4.000472250957426e-08,1.149998519825948e-09,-1.1499985198264093e-09,-1.1499985198252639e-09,1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.6e-13,0.0,3.909994967408224e-08,3.909994967411606e-08,4.00047225095743e-08,1.1499985198259482e-09,-1.1499985198264054e-09,-1.1499985198252639e-09,6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.2e-13,0.0,3.909994967408224e-08,3.909994967411571e-08,4.0004722509574324e-08,1.1499985198259482e-09,-1.1499985198263986e-09,-1.1499985198252637e-09,1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.4e-13,0.0,3.909994967408223e-08,3.9099949674114996e-08,4.000472250957435e-08,1.149998519825948e-09,-1.149998519826384e-09,-1.1499985198252635e-09,6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.28e-12,0.0,3.9099949674082246e-08,3.909994967411358e-08,4.000472250957436e-08,1.1499985198259484e-09,-1.1499985198263557e-09,-1.1499985198252645e-09,6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.56e-12,0.0,3.909994967408224e-08,3.909994967411083e-08,4.0004722509574376e-08,1.1499985198259482e-09,-1.1499985198263007e-09,-1.149998519825268e-09,0.0,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.56e-12,0.0,3.9099949674082246e-08,3.9099949674106856e-08,4.000472250957438e-08,1.1499985198259484e-09,-1.1499985198262215e-09,-1.1499985198252767e-09,-6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.5599999999999995e-12,0.0,3.909994967408224e-08,3.9099949674103203e-08,4.000472250957437e-08,1.1499985198259482e-09,-1.1499985198261483e-09,-1.1499985198252893e-09,-1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.559999999999999e-12,0.0,3.909994967408224e-08,3.909994967409989e-08,4.000472250957433e-08,1.1499985198259482e-09,-1.149998519826082e-09,-1.1499985198253056e-09,-3.3087224502121107e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.0559999999999999e-11,0.0,3.909994967408223e-08,3.909994967409691e-08,4.0004722509574264e-08,1.149998519825948e-09,-1.1499985198260224e-09,-1.1499985198253257e-09,-5.293955920339377e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.2559999999999998e-11,0.0,3.909994967408223e-08,3.909994967409425e-08,4.0004722509574165e-08,1.149998519825948e-09,-1.1499985198259692e-09,-1.1499985198253487e-09,-7.279189390466644e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.456e-11,0.0,3.909994967408223e-08,3.9099949674091874e-08,4.000472250957403e-08,1.149998519825948e-09,-1.1499985198259217e-09,-1.1499985198253739e-09,-9.926167350636332e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.656e-11,0.0,3.909994967408224e-08,3.9099949674089796e-08,4.000472250957386e-08,1.1499985198259482e-09,-1.1499985198258801e-09,-1.1499985198254016e-09,-1.3234889800848443e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.856e-11,0.0,3.909994967408223e-08,3.9099949674087996e-08,4.000472250957364e-08,1.149998519825948e-09,-1.1499985198258441e-09,-1.1499985198254316e-09,-1.5881867761018131e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.0559999999999998e-11,0.0,3.909994967408224e-08,3.909994967408646e-08,4.000472250957338e-08,1.1499985198259482e-09,-1.1499985198258135e-09,-1.149998519825463e-09,-1.9190590211230242e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.2559999999999998e-11,0.0,3.9099949674082246e-08,3.9099949674085164e-08,4.000472250957306e-08,1.1499985198259484e-09,-1.1499985198257877e-09,-1.1499985198254963e-09,-2.2499312661442353e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.4559999999999997e-11,0.0,3.9099949674082246e-08,3.90999496740841e-08,4.0004722509572696e-08,1.1499985198259484e-09,-1.1499985198257664e-09,-1.14999851982553e-09,-2.5808035111654463e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.6559999999999997e-11,0.0,3.909994967408223e-08,3.909994967408326e-08,4.000472250957227e-08,1.149998519825948e-09,-1.1499985198257494e-09,-1.1499985198255643e-09,-2.9116757561866574e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.8559999999999996e-11,0.0,3.909994967408223e-08,3.909994967408261e-08,4.0004722509571796e-08,1.149998519825948e-09,-1.1499985198257364e-09,-1.149998519825599e-09,-3.2425480012078685e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.0559999999999996e-11,0.0,3.909994967408224e-08,3.909994967408214e-08,4.0004722509571266e-08,1.1499985198259482e-09,-1.149998519825727e-09,-1.1499985198256336e-09,-3.639594695233322e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.2559999999999995e-11,0.0,3.909994967408224e-08,3.909994967408184e-08,4.0004722509570684e-08,1.1499985198259482e-09,-1.149998519825721e-09,-1.149998519825668e-09,-3.970466940254533e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.4559999999999995e-11,0.0,3.9099949674082246e-08,3.9099949674081697e-08,4.0004722509570055e-08,1.1499985198259484e-09,-1.1499985198257182e-09,-1.1499985198257014e-09,-4.367513634279986e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.6559999999999994e-11,0.0,3.909994967408223e-08,3.9099949674081683e-08,4.0004722509569374e-08,1.149998519825948e-09,-1.1499985198257178e-09,-1.149998519825735e-09,-4.698385879301197e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.8559999999999994e-11,0.0,3.909994967408223e-08,3.90999496740818e-08,4.0004722509568646e-08,1.149998519825948e-09,-1.1499985198257203e-09,-1.1499985198257678e-09,-5.029258124322408e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.0559999999999994e-11,0.0,3.909994967408223e-08,3.909994967408204e-08,4.000472250956786e-08,1.149998519825948e-09,-1.149998519825725e-09,-1.1499985198257993e-09,-5.293955920339377e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.255999999999999e-11,0.0,3.909994967408224e-08,3.909994967408237e-08,4.0004722509567024e-08,1.1499985198259482e-09,-1.1499985198257316e-09,-1.1499985198258297e-09,-5.624828165360588e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.455999999999999e-11,0.0,3.909994967408224e-08,3.90999496740828e-08,4.000472250956615e-08,1.1499985198259482e-09,-1.1499985198257403e-09,-1.1499985198258584e-09,-5.955700410381799e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.655999999999999e-11,0.0,3.909994967408224e-08,3.909994967408331e-08,4.000472250956524e-08,1.1499985198259482e-09,-1.1499985198257505e-09,-1.1499985198258855e-09,-6.154223757394526e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.855999999999999e-11,0.0,3.909994967408224e-08,3.909994967408388e-08,4.000472250956428e-08,1.1499985198259482e-09,-1.1499985198257618e-09,-1.1499985198259107e-09,-6.418921553411495e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
5.055999999999999e-11,0.0,3.909994967408224e-08,3.909994967408451e-08,4.000472250956329e-08,1.1499985198259482e-09,-1.1499985198257744e-09,-1.1499985198259343e-09,-6.749793798432706e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
5.255999999999999e-11,0.0,3.9099949674082246e-08,3.909994967408517e-08,4.0004722509562267e-08,1.1499985198259484e-09,-1.1499985198257877e-09,-1.1499985198259562e-09,-6.88214269644119e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
5.455999999999999e-11,0.0,3.9099949674082246e-08,3.9099949674085866e-08,4.000472250956121e-08,1.1499985198259484e-09,-1.1499985198258015e-09,-1.149998519825976e-09,-7.014491594449675e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
5.655999999999999e-11,0.0,3.909994967408224e-08,3.909994967408659e-08,4.000472250956012e-08,1.1499985198259482e-09,-1.149998519825816e-09,-1.1499985198259939e-09,-7.213014941462401e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
5.855999999999999e-11,0.0,3.909994967408224e-08,3.9099949674087295e-08,4.0004722509559004e-08,1.1499985198259482e-09,-1.1499985198258303e-09,-1.1499985198260096e-09,-7.345363839470886e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.056e-11,0.0,3.909994967408224e-08,3.9099949674087996e-08,4.0004722509557866e-08,1.1499985198259482e-09,-1.1499985198258441e-09,-1.1499985198260234e-09,-7.47771273747937e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.256e-11,0.0,3.909994967408224e-08,3.90999496740887e-08,4.000472250955671e-08,1.1499985198259482e-09,-1.1499985198258582e-09,-1.1499985198260352e-09,-7.610061635487855e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.456000000000001e-11,0.0,3.909994967408224e-08,3.909994967408938e-08,4.0004722509555537e-08,1.1499985198259482e-09,-1.1499985198258718e-09,-1.1499985198260445e-09,-7.676236084492097e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.656000000000001e-11,0.0,3.9099949674082246e-08,3.909994967409004e-08,4.000472250955435e-08,1.1499985198259484e-09,-1.149998519825885e-09,-1.1499985198260518e-09,-7.742410533496339e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.856000000000002e-11,0.0,3.909994967408223e-08,3.909994967409068e-08,4.000472250955315e-08,1.149998519825948e-09,-1.149998519825898e-09,-1.1499985198260573e-09,-7.874759431504823e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
7.056000000000003e-11,0.0,3.9099949674082246e-08,3.909994967409129e-08,4.000472250955194e-08,1.1499985198259484e-09,-1.14999851982591e-09,-1.1499985198260607e-09,-8.007108329513308e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
7.256000000000003e-11,0.0,3.909994967408225e-08,3.9099949674091874e-08,4.0004722509550726e-08,1.1499985198259486e-09,-1.1499985198259217e-09,-1.1499985198260619e-09,-7.940933880509066e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
7.456000000000004e-11,0.0,3.9099949674082246e-08,3.909994967409242e-08,4.000472250954953e-08,1.1499985198259484e-09,-1.1499985198259326e-09,-1.1499985198260613e-09,-7.940933880509066e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
7.656000000000004e-11,0.0,3.909994967408224e-08,3.9099949674092907e-08,4.0004722509548324e-08,1.1499985198259482e-09,-1.1499985198259424e-09,-1.1499985198260586e-09,-8.007108329513308e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
7.856000000000005e-11,0.0,3.9099949674082246e-08,3.909994967409333e-08,4.000472250954712e-08,1.1499985198259484e-09,-1.1499985198259508e-09,-1.149998519826054e-09,-7.874759431504823e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.056000000000006e-11,0.0,3.909994967408224e-08,3.9099949674093714e-08,4.000472250954592e-08,1.1499985198259482e-09,-1.1499985198259585e-09,-1.1499985198260476e-09,-7.676236084492097e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.256000000000006e-11,0.0,3.909994967408224e-08,3.9099949674094045e-08,4.000472250954473e-08,1.1499985198259482e-09,-1.1499985198259653e-09,-1.1499985198260396e-09,-7.676236084492097e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.456000000000007e-11,0.0,3.909994967408224e-08,3.909994967409429e-08,4.0004722509543566e-08,1.1499985198259482e-09,-1.14999851982597e-09,-1.1499985198260298e-09,-7.543887186483612e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.656000000000007e-11,0.0,3.909994967408224e-08,3.909994967409449e-08,4.000472250954242e-08,1.1499985198259482e-09,-1.149998519825974e-09,-1.1499985198260187e-09,-7.47771273747937e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.856000000000008e-11,0.0,3.909994967408224e-08,3.909994967409462e-08,4.0004722509541296e-08,1.1499985198259482e-09,-1.1499985198259767e-09,-1.149998519826006e-09,-7.411538288475128e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
9.056000000000009e-11,0.0,3.9099949674082246e-08,3.9099949674094693e-08,4.0004722509540184e-08,1.1499985198259484e-09,-1.1499985198259781e-09,-1.1499985198259922e-09,-7.213014941462401e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
