time,v(source),v(launch),v(pin),v(die),i(vsource),i(vpin),i(lpackage),i(vccurrent),i(vgc),i(vpc),i(vog),i(vop)
0.0,0.0,3.9099949674058966e-08,3.909994967411647e-08,4.0004722509574204e-08,1.1499985198252637e-09,-1.1499985198252637e-09,-1.1499985198252637e-09,0.0,-5.017998519825267e-09,3.868e-09,0.0,0.0
1e-14,0.0,3.909994967408224e-08,3.909994967411644e-08,4.000472250957421e-08,1.1499985198259482e-09,-1.1499985198264128e-09,-1.1499985198252637e-09,0.0,-5.017998519825267e-09,3.868e-09,0.0,0.0
2e-14,0.0,3.909994967408224e-08,3.9099949674116405e-08,4.000472250957422e-08,1.1499985198259482e-09,-1.1499985198264122e-09,-1.1499985198252637e-09,6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
4e-14,0.0,3.9099949674082246e-08,3.9099949674116346e-08,4.000472250957423e-08,1.1499985198259484e-09,-1.149998519826411e-09,-1.1499985198252637e-09,0.0,-5.017998519825267e-09,3.868e-09,0.0,0.0
8e-14,0.0,3.909994967408223e-08,3.909994967411625e-08,4.000472250957426e-08,1.149998519825948e-09,-1.149998519826409e-09,-1.1499985198252639e-09,1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.6e-13,0.0,3.909994967408224e-08,3.909994967411604e-08,4.000472250957429e-08,1.1499985198259482e-09,-1.149998519826405e-09,-1.1499985198252643e-09,6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.2e-13,0.0,3.909994967408224e-08,3.909994967411566e-08,4.000472250957432e-08,1.1499985198259482e-09,-1.1499985198263975e-09,-1.149998519825264e-09,1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.4e-13,0.0,3.909994967408223e-08,3.909994967411493e-08,4.000472250957434e-08,1.149998519825948e-09,-1.1499985198263826e-09,-1.1499985198252639e-09,1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.28e-12,0.0,3.9099949674082246e-08,3.90999496741135e-08,4.000472250957435e-08,1.1499985198259484e-09,-1.149998519826354e-09,-1.149998519825265e-09,0.0,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.28e-12,0.0,3.9099949674082246e-08,3.9099949674111356e-08,4.000472250957436e-08,1.1499985198259484e-09,-1.1499985198263113e-09,-1.1499985198252672e-09,-6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.2799999999999998e-12,0.0,3.909994967408224e-08,3.909994967410929e-08,4.0004722509574357e-08,1.1499985198259482e-09,-1.14999851982627e-09,-1.1499985198252705e-09,-6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.2799999999999995e-12,0.0,3.9099949674082246e-08,3.909994967410732e-08,4.0004722509574357e-08,1.1499985198259484e-09,-1.1499985198262306e-09,-1.149998519825275e-09,-1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
5.279999999999999e-12,0.0,3.909994967408223e-08,3.9099949674105433e-08,4.000472250957435e-08,1.149998519825948e-09,-1.1499985198261928e-09,-1.14999851982528e-09,-1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.279999999999999e-12,0.0,3.909994967408224e-08,3.9099949674103633e-08,4.000472250957434e-08,1.1499985198259482e-09,-1.1499985198261568e-09,-1.1499985198252858e-09,-1.9852334701272664e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
7.28e-12,0.0,3.909994967408224e-08,3.909994967410194e-08,4.000472250957432e-08,1.1499985198259482e-09,-1.1499985198261229e-09,-1.149998519825293e-09,-2.6469779601696886e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.28e-12,0.0,3.909994967408223e-08,3.909994967410032e-08,4.0004722509574284e-08,1.149998519825948e-09,-1.1499985198260904e-09,-1.149998519825301e-09,-3.970466940254533e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
9.28e-12,0.0,3.909994967408223e-08,3.909994967409877e-08,4.0004722509574244e-08,1.149998519825948e-09,-1.1499985198260594e-09,-1.14999851982531e-09,-4.632211430296955e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.0279999999999999e-11,0.0,3.909994967408224e-08,3.909994967409731e-08,4.0004722509574204e-08,1.1499985198259482e-09,-1.1499985198260303e-09,-1.14999851982532e-09,-5.955700410381799e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.1279999999999999e-11,0.0,3.909994967408224e-08,3.909994967409592e-08,4.000472250957415e-08,1.1499985198259482e-09,-1.1499985198260025e-09,-1.1499985198253309e-09,-5.955700410381799e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.2279999999999999e-11,0.0,3.9099949674082246e-08,3.909994967409461e-08,4.00047225095741e-08,1.1499985198259484e-09,-1.1499985198259763e-09,-1.149998519825342e-09,-7.940933880509066e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.3279999999999998e-11,0.0,3.909994967408224e-08,3.909994967409336e-08,4.000472250957403e-08,1.1499985198259482e-09,-1.1499985198259515e-09,-1.149998519825354e-09,-9.26442286059391e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.4279999999999998e-11,0.0,3.909994967408223e-08,3.90999496740922e-08,4.000472250957396e-08,1.149998519825948e-09,-1.149998519825928e-09,-1.1499985198253664e-09,-1.0587911840678754e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.5279999999999998e-11,0.0,3.9099949674082246e-08,3.909994967409112e-08,4.0004722509573874e-08,1.1499985198259484e-09,-1.1499985198259066e-09,-1.14999851982538e-09,-1.1249656330721176e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
