time,v(source),v(launch),v(pin),v(die),i(vsource),i(vpin),i(lpackage),i(vccurrent),i(vgc),i(vpc),i(vog),i(vop)
0.0,0.0,3.909995072796036e-08,3.9099950728017867e-08,3.909995187801642e-08,1.1499985508223636e-09,-1.1499985508223634e-09,-1.1499985508223634e-09,0.0,-5.01799855330178e-09,3.868e-09,0.0,0.0
2e-14,0.0,3.909995072798364e-08,3.909995072816011e-08,3.9099951878158656e-08,1.1499985508230483e-09,-1.1499985508263583e-09,-1.1499985508263653e-09,6.938893903907228e-18,-5.01799855330178e-09,3.868e-09,0.0,0.0
4e-14,0.0,3.909995072798365e-08,3.9099950728302304e-08,3.909995187830085e-08,1.1499985508230485e-09,-1.1499985508292024e-09,-1.1499985508292094e-09,0.0,-5.01799855330178e-09,3.868e-09,0.0,0.0
8e-14,0.0,3.909995072798364e-08,3.909995072858661e-08,3.9099951878585156e-08,1.1499985508230483e-09,-1.1499985508348884e-09,-1.1499985508348954e-09,0.0,-5.01799855330178e-09,3.868e-09,0.0,0.0
1.6e-13,0.0,3.9099950727983634e-08,3.909995072888693e-08,3.909995187888548e-08,1.1499985508230481e-09,-1.1499985508408948e-09,-1.1499985508408952e-09,6.938893903907228e-18,-5.01799855330178e-09,3.868e-09,0.0,0.0
3.2e-13,0.0,3.909995072798364e-08,3.909995072891839e-08,3.909995187891694e-08,1.1499985508230483e-09,-1.149998550841524e-09,-1.149998550841524e-09,-6.938893903907228e-18,-5.01799855330178e-09,3.868e-09,0.0,0.0
6.4e-13,0.0,3.9099950727983634e-08,3.9099950728859883e-08,3.9099951878858424e-08,1.1499985508230481e-09,-1.1499985508403538e-09,-1.1499985508403534e-09,-6.938893903907228e-18,-5.01799855330178e-09,3.868e-09,0.0,0.0
1.28e-12,0.0,3.909995072798364e-08,3.909995072968165e-08,3.90999518796802e-08,1.1499985508230483e-09,-1.1499985508567892e-09,-1.149998550856792e-09,0.0,-5.01799855330178e-09,3.868e-09,0.0,0.0
2.56e-12,0.0,3.9099950727983634e-08,3.909995073331612e-08,3.909995188331467e-08,1.1499985508230481e-09,-1.1499985509294784e-09,-1.149998550929481e-09,6.938893903907228e-18,-5.01799855330178e-09,3.868e-09,0.0,0.0
4.56e-12,0.0,3.909995072798365e-08,3.909995073883876e-08,3.9099951888837306e-08,1.1499985508230485e-09,-1.1499985510399314e-09,-1.149998551039934e-09,0.0,-5.01799855330178e-09,3.868e-09,0.0,0.0
6.5599999999999995e-12,0.0,3.9099950727983634e-08,3.909995074429042e-08,3.9099951894288975e-08,1.1499985508230481e-09,-1.1499985511489645e-09,-1.1499985511489672e-09,0.0,-5.01799855330178e-09,3.868e-09,0.0,0.0
8.559999999999999e-12,0.0,3.909995072798364e-08,3.909995074957691e-08,3.909995189957545e-08,1.1499985508230483e-09,-1.1499985512546943e-09,-1.1499985512546968e-09,0.0,-5.017998553301779e-09,3.868e-09,0.0,0.0
1.0559999999999999e-11,0.0,3.909995072798363e-08,3.9099950754703176e-08,3.909995190470173e-08,1.149998550823048e-09,-1.1499985513572197e-09,-1.1499985513572221e-09,0.0,-5.017998553301779e-09,3.868e-09,0.0,0.0
1.2559999999999998e-11,0.0,3.909995072798364e-08,3.90999507596741e-08,3.9099951909672655e-08,1.1499985508230483e-09,-1.1499985514566383e-09,-1.1499985514566408e-09,0.0,-5.017998553301779e-09,3.868e-09,0.0,0.0
1.456e-11,0.0,3.909995072798363e-08,3.90999507644944e-08,3.9099951914492954e-08,1.149998550823048e-09,-1.1499985515530441e-09,-1.1499985515530466e-09,-6.938893903907228e-18,-5.017998553301779e-09,3.868e-09,0.0,0.0
1.656e-11,0.0,3.9099950727983634e-08,3.909995076916864e-08,3.909995191916719e-08,1.1499985508230481e-09,-1.149998551646529e-09,-1.1499985516465312e-09,0.0,-5.0179985533017785e-09,3.868e-09,0.0,0.0
1.856e-11,0.0,3.9099950727983634e-08,3.909995077370123e-08,3.909995192369978e-08,1.1499985508230481e-09,-1.1499985517371807e-09,-1.149998551737183e-09,-6.938893903907228e-18,-5.0179985533017785e-09,3.868e-09,0.0,0.0
2.0559999999999998e-11,0.0,3.909995072798364e-08,3.909995077809647e-08,3.909995192809501e-08,1.1499985508230483e-09,-1.1499985518250856e-09,-1.1499985518250877e-09,-6.938893903907228e-18,-5.0179985533017785e-09,3.868e-09,0.0,0.0
2.2559999999999998e-11,0.0,3.909995072798365e-08,3.9099950782358504e-08,3.909995193235705e-08,1.1499985508230485e-09,-1.1499985519103264e-09,-1.1499985519103285e-09,0.0,-5.0179985533017785e-09,3.868e-09,0.0,0.0
2.4559999999999997e-11,0.0,3.909995072798365e-08,3.909995078649138e-08,3.909995193648994e-08,1.1499985508230485e-09,-1.1499985519929839e-09,-1.149998551992986e-09,-6.938893903907228e-18,-5.0179985533017785e-09,3.868e-09,0.0,0.0
2.6559999999999997e-11,0.0,3.9099950727983634e-08,3.909995079049905e-08,3.9099951940497594e-08,1.1499985508230481e-09,-1.1499985520731372e-09,-1.1499985520731391e-09,0.0,-5.017998553301778e-09,3.868e-09,0.0,0.0
2.8559999999999996e-11,0.0,3.9099950727983634e-08,3.909995079438526e-08,3.909995194438381e-08,1.1499985508230481e-09,-1.1499985521508614e-09,-1.1499985521508633e-09,-6.938893903907228e-18,-5.017998553301778e-09,3.868e-09,0.0,0.0
3.0559999999999996e-11,0.0,3.909995072798364e-08,3.9099950798153703e-08,3.909995194815225e-08,1.1499985508230483e-09,-1.1499985522262304e-09,-1.1499985522262322e-09,0.0,-5.017998553301778e-09,3.868e-09,0.0,0.0
3.2559999999999995e-11,0.0,3.909995072798364e-08,3.909995080180794e-08,3.9099951951806496e-08,1.1499985508230483e-09,-1.149998552299315e-09,-1.149998552299317e-09,-6.938893903907228e-18,-5.017998553301778e-09,3.868e-09,0.0,0.0
3.4559999999999995e-11,0.0,3.909995072798364e-08,3.909995080535147e-08,3.909995195535001e-08,1.1499985508230483e-09,-1.1499985523701857e-09,-1.1499985523701873e-09,0.0,-5.017998553301778e-09,3.868e-09,0.0,0.0
3.6559999999999994e-11,0.0,3.909995072798364e-08,3.90999508087876e-08,3.909995195878615e-08,1.1499985508230483e-09,-1.1499985524389082e-09,-1.1499985524389099e-09,0.0,-5.017998553301778e-09,3.868e-09,0.0,0.0
3.8559999999999994e-11,0.0,3.9099950727983634e-08,3.90999508121196e-08,3.909995196211815e-08,1.1499985508230481e-09,-1.1499985525055482e-09,-1.1499985525055498e-09,-6.938893903907228e-18,-5.017998553301778e-09,3.868e-09,0.0,0.0
4.0559999999999994e-11,0.0,3.9099950727983634e-08,3.9099950815350636e-08,3.909995196534918e-08,1.1499985508230481e-09,-1.149998552570169e-09,-1.1499985525701704e-09,-6.938893903907228e-18,-5.017998553301777e-09,3.868e-09,0.0,0.0
4.255999999999999e-11,0.0,3.909995072798364e-08,3.909995081848376e-08,3.9099951968482305e-08,1.1499985508230483e-09,-1.1499985526328314e-09,-1.149998552632833e-09,0.0,-5.017998553301777e-09,3.868e-09,0.0,0.0
4.455999999999999e-11,0.0,3.909995072798365e-08,3.909995082152193e-08,3.9099951971520486e-08,1.1499985508230485e-09,-1.149998552693595e-09,-1.1499985526935965e-09,0.0,-5.017998553301777e-09,3.868e-09,0.0,0.0
4.655999999999999e-11,0.0,3.909995072798364e-08,3.9099950824468046e-08,3.9099951974466606e-08,1.1499985508230483e-09,-1.1499985527525172e-09,-1.1499985527525187e-09,-6.938893903907228e-18,-5.017998553301777e-09,3.868e-09,0.0,0.0
4.855999999999999e-11,0.0,3.909995072798364e-08,3.90999508273249e-08,3.909995197732344e-08,1.1499985508230483e-09,-1.1499985528096543e-09,-1.1499985528096556e-09,0.0,-5.017998553301777e-09,3.868e-09,0.0,0.0
5.055999999999999e-11,0.0,3.909995072798364e-08,3.909995083009515e-08,3.909995198009371e-08,1.1499985508230483e-09,-1.1499985528650593e-09,-1.1499985528650607e-09,-6.938893903907228e-18,-5.017998553301777e-09,3.868e-09,0.0,0.0
5.255999999999999e-11,0.0,3.909995072798365e-08,3.909995083278146e-08,3.909995198278002e-08,1.1499985508230485e-09,-1.1499985529187855e-09,-1.149998552918787e-09,0.0,-5.017998553301777e-09,3.868e-09,0.0,0.0
5.455999999999999e-11,0.0,3.909995072798365e-08,3.909995083538638e-08,3.909995198538494e-08,1.1499985508230485e-09,-1.149998552970884e-09,-1.1499985529708853e-09,0.0,-5.017998553301776e-09,3.868e-09,0.0,0.0
5.655999999999999e-11,0.0,3.909995072798365e-08,3.9099950837912364e-08,3.909995198791092e-08,1.1499985508230485e-09,-1.1499985530214037e-09,-1.1499985530214049e-09,0.0,-5.017998553301776e-09,3.868e-09,0.0,0.0
5.855999999999999e-11,0.0,3.909995072798364e-08,3.909995084036181e-08,3.909995199036035e-08,1.1499985508230483e-09,-1.1499985530703926e-09,-1.1499985530703936e-09,-6.938893903907228e-18,-5.017998553301776e-09,3.868e-09,0.0,0.0
6.056e-11,0.0,3.9099950727983634e-08,3.9099950842737005e-08,3.909995199273556e-08,1.1499985508230481e-09,-1.1499985531178963e-09,-1.1499985531178976e-09,0.0,-5.017998553301776e-09,3.868e-09,0.0,0.0
6.256e-11,0.0,3.909995072798364e-08,3.909995084504024e-08,3.9099951995038786e-08,1.1499985508230483e-09,-1.149998553163961e-09,-1.149998553163962e-09,0.0,-5.017998553301776e-09,3.868e-09,0.0,0.0
6.456000000000001e-11,0.0,3.909995072798365e-08,3.909995084727367e-08,3.909995199727222e-08,1.1499985508230485e-09,-1.1499985532086296e-09,-1.1499985532086306e-09,0.0,-5.017998553301776e-09,3.868e-09,0.0,0.0
6.656000000000001e-11,0.0,3.909995072798364e-08,3.9099950849439444e-08,3.909995199943799e-08,1.1499985508230483e-09,-1.149998553251945e-09,-1.1499985532519461e-09,-6.938893903907228e-18,-5.017998553301776e-09,3.868e-09,0.0,0.0
6.856000000000002e-11,0.0,3.9099950727983634e-08,3.9099950851539576e-08,3.909995200153813e-08,1.1499985508230481e-09,-1.1499985532939477e-09,-1.1499985532939487e-09,0.0,-5.017998553301776e-09,3.868e-09,0.0,0.0
7.056000000000003e-11,0.0,3.909995072798364e-08,3.909995085357607e-08,3.909995200357462e-08,1.1499985508230483e-09,-1.1499985533346776e-09,-1.1499985533346787e-09,-6.938893903907228e-18,-5.017998553301776e-09,3.868e-09,0.0,0.0
7.256000000000003e-11,0.0,3.909995072798365e-08,3.909995085555085e-08,3.9099952005549406e-08,1.1499985508230485e-09,-1.1499985533741732e-09,-1.1499985533741743e-09,0.0,-5.017998553301776e-09,3.868e-09,0.0,0.0
7.456000000000004e-11,0.0,3.909995072798365e-08,3.90999508574658e-08,3.909995200746434e-08,1.1499985508230485e-09,-1.1499985534124723e-09,-1.1499985534124731e-09,-6.938893903907228e-18,-5.017998553301775e-09,3.868e-09,0.0,0.0
7.656000000000004e-11,0.0,3.909995072798364e-08,3.909995085932271e-08,3.909995200932126e-08,1.1499985508230483e-09,-1.1499985534496104e-09,-1.1499985534496113e-09,0.0,-5.017998553301775e-09,3.868e-09,0.0,0.0
7.856000000000005e-11,0.0,3.909995072798364e-08,3.909995086112335e-08,3.90999520111219e-08,1.1499985508230483e-09,-1.1499985534856232e-09,-1.149998553485624e-09,-6.938893903907228e-18,-5.017998553301775e-09,3.868e-09,0.0,0.0
8.056000000000006e-11,0.0,3.9099950727983634e-08,3.909995086286942e-08,3.9099952012867976e-08,1.1499985508230481e-09,-1.1499985535205447e-09,-1.1499985535205455e-09,0.0,-5.017998553301775e-09,3.868e-09,0.0,0.0
8.256000000000006e-11,0.0,3.909995072798365e-08,3.909995086456259e-08,3.9099952014561136e-08,1.1499985508230485e-09,-1.149998553554408e-09,-1.1499985535544089e-09,0.0,-5.017998553301775e-09,3.868e-09,0.0,0.0
8.456000000000007e-11,0.0,3.909995072798364e-08,3.909995086620444e-08,3.909995201620299e-08,1.1499985508230483e-09,-1.149998553587245e-09,-1.1499985535872459e-09,0.0,-5.017998553301775e-09,3.868e-09,0.0,0.0
8.656000000000007e-11,0.0,3.9099950727983634e-08,3.9099950867796534e-08,3.909995201779509e-08,1.1499985508230481e-09,-1.149998553619087e-09,-1.1499985536190878e-09,-6.938893903907228e-18,-5.017998553301775e-09,3.868e-09,0.0,0.0
8.856000000000008e-11,0.0,3.909995072798364e-08,3.90999508693404e-08,3.9099952019338944e-08,1.1499985508230483e-09,-1.1499985536499641e-09,-1.149998553649965e-09,0.0,-5.017998553301775e-09,3.868e-09,0.0,0.0
9.056000000000009e-11,0.0,3.909995072798365e-08,3.909995087083745e-08,3.909995202083601e-08,1.1499985508230485e-09,-1.1499985536799052e-09,-1.149998553679906e-09,-6.938893903907228e-18,-5.017998553301775e-09,3.868e-09,0.0,0.0
9.256000000000009e-11,0.0,3.909995072798365e-08,3.909995087228915e-08,3.9099952022287704e-08,1.1499985508230485e-09,-1.1499985537089392e-09,-1.14999855370894e-09,0.0,-5.017998553301775e-09,3.868e-09,0.0,0.0
9.45600000000001e-11,0.0,3.9099950727983634e-08,3.909995087369686e-08,3.909995202369541e-08,1.1499985508230481e-09,-1.1499985537370933e-09,-1.1499985537370942e-09,0.0,-5.017998553301775e-09,3.868e-09,0.0,0.0
9.65600000000001e-11,0.0,3.9099950727983634e-08,3.909995087506192e-08,3.909995202506046e-08,1.1499985508230481e-09,-1.1499985537643944e-09,-1.149998553764395e-09,0.0,-5.017998553301775e-09,3.868e-09,0.0,0.0
9.856000000000011e-11,0.0,3.909995072798364e-08,3.909995087638559e-08,3.909995202638415e-08,1.1499985508230483e-09,-1.149998553790868e-09,-1.1499985537908688e-09,-6.938893903907228e-18,-5.017998553301775e-09,3.868e-09,0.0,0.0
1.0056000000000012e-10,0.0,3.9099950727983634e-08,3.909995087766917e-08,3.9099952027667726e-08,1.1499985508230481e-09,-1.1499985538165397e-09,-1.1499985538165403e-09,0.0,-5.017998553301775e-09,3.868e-09,0.0,0.0
