time,v(source),v(launch),v(pin),v(die),i(vsource),i(vpin),i(lpackage),i(vccurrent),i(vgc),i(vpc),i(vog),i(vop)
0.0,0.0,0.23912583313531993,0.2391258331356716,0.23912584016878438,0.007033112739274115,-0.007033112739274114,-0.007033112739274114,0.0,-2.0933615136314554e-09,3.868e-09,0.0022760003807831973,-0.00930911489177379
2e-14,0.0,0.2391258331354623,0.23912583313654145,0.23912584016965407,0.007033112739278303,-0.007033112739298543,-0.007033112739298585,2.9103830456733704e-11,-2.0933615136261214e-09,3.868e-09,0.0022760003807913553,-0.009309114891768503
4e-14,0.0,0.2391258331354623,0.23912583313741062,0.2391258401705233,0.007033112739278303,-0.007033112739315926,-0.007033112739315969,5.820766091346741e-11,-2.09336151362079e-09,3.868e-09,0.0022760003807995085,-0.009309114891763219
8e-14,0.0,0.2391258331354623,0.23912583313914812,0.23912584017226077,0.007033112739278303,-0.007033112739350676,-0.007033112739350719,5.820766091346741e-11,-2.0933615136101336e-09,3.868e-09,0.002276000380815806,-0.009309114891752653
1.6e-13,0.0,0.23912583313546223,0.23912583314098051,0.23912584017409327,0.007033112739278301,-0.007033112739387325,-0.007033112739387328,0.0,-2.0933615135988943e-09,3.868e-09,0.0022760003808329947,-0.009309114891741514
3.2e-13,0.0,0.23912583313546232,0.23912583314116262,0.23912584017427538,0.007033112739278304,-0.007033112739390967,-0.007033112739390967,-2.9103830456733704e-11,-2.0933615135977776e-09,3.868e-09,0.002276000380834703,-0.009309114891740404
6.4e-13,0.0,0.23912583313546223,0.23912583314078478,0.23912584017389749,0.007033112739278301,-0.007033112739383411,-0.007033112739383408,0.0,-2.0933615136000954e-09,3.868e-09,0.002276000380831158,-0.009309114891742704
1.28e-12,0.0,0.2391258331354623,0.23912583314575336,0.239125840178866,0.007033112739278303,-0.007033112739482782,-0.007033112739482799,0.0,-2.093361513569622e-09,3.868e-09,0.0022760003808777636,-0.009309114891712494
2.56e-12,0.0,0.2391258331354623,0.23912583316766553,0.2391258402007783,0.007033112739278303,-0.007033112739921025,-0.0070331127399210405,0.0,-2.0933615134352267e-09,3.868e-09,0.0022760003810833,-0.009309114891579267
4.56e-12,0.0,0.23912583313546232,0.23912583320032116,0.23912584023343392,0.007033112739278304,-0.007033112740574139,-0.007033112740574155,0.0,-2.093361513234938e-09,3.868e-09,0.00227600038138961,-0.009309114891380721
6.5599999999999995e-12,0.0,0.23912583313546223,0.2391258332318253,0.23912584026493802,0.007033112739278301,-0.0070331127412042215,-0.007033112741204237,2.9103830456733704e-11,-2.0933615130417137e-09,3.868e-09,0.002276000381685119,-0.009309114891189177
8.559999999999999e-12,0.0,0.23912583313546232,0.23912583326165643,0.2391258402947691,0.007033112739278304,-0.007033112741800844,-0.007033112741800858,0.0,-2.0933615128587496e-09,3.868e-09,0.002276000381964934,-0.009309114891007804
