time,v(a),v(y),v(out),vdd#branch,va#branch
0.0,0.0,1.928835777071511e-116,1.928835777071511e-116,-2.0881943783024326e-06,0.0
1.0000000000000002e-12,0.0,-3.795312909439311e-113,7.785050454094742e-117,-2.0881570037545316e-06,0.0
2.0000000000000004e-12,0.0,-3.0487537238117023e-113,-1.4531568432609455e-117,-2.0881570037545316e-06,0.0
4.000000000000001e-12,0.0,-1.849339864724834e-113,-1.6290487825290286e-116,-2.0881570037545316e-06,0.0
8.000000000000001e-12,0.0,-6.334159449545924e-114,-3.1308644773287673e-116,-2.0881861075849883e-06,0.0
1.6000000000000003e-11,0.0,-6.559477592065076e-116,-3.8980723388202944e-116,-2.088178831627374e-06,0.0
3.2000000000000006e-11,0.0,2.1290576495544193e-116,-3.889932738493499e-116,-2.088204297479024e-06,0.0
6.400000000000001e-11,0.0,-1.2594353156773434e-116,-3.8481981772830563e-116,-2.0881933835426025e-06,0.0
1.2800000000000002e-10,0.0,9.785283343637321e-117,-3.7769809924258886e-116,-2.0881933835426025e-06,0.0
2.2800000000000004e-10,0.0,-8.265209835174103e-117,-3.661966524728903e-116,-2.0881933835426025e-06,0.0
3.2800000000000006e-10,0.0,7.058113261653051e-117,-3.5544557278318044e-116,-2.0881933835426025e-06,0.0
4.2800000000000007e-10,0.0,-5.9523765962190866e-117,-3.4467022185451333e-116,-2.0881933835426025e-06,0.0
5.28e-10,0.0,5.0921365271771466e-117,-3.345099525557283e-116,-2.0881933835426025e-06,0.0
6.28e-10,0.0,-4.285638038181568e-117,-3.244042079288417e-116,-2.0881933835426025e-06,0.0
7.28e-10,0.0,3.674826371312301e-117,-3.1481166614990164e-116,-2.0881933835426025e-06,0.0
8.279999999999999e-10,0.0,-3.084570869513319e-117,-3.0532620514515855e-116,-2.0881933835426025e-06,0.0
9.279999999999999e-10,0.0,2.6529978562308807e-117,-2.9627640394877817e-116,-2.0881933835426025e-06,0.0
1.028e-09,0.0,-2.2191315821313294e-117,-2.873675760287998e-116,-2.0881933835426025e-06,0.0
1.128e-09,0.0,1.916238188941164e-117,-2.7883464740005805e-116,-2.0881933835426025e-06,0.0
1.228e-09,0.0,-1.5955890755337533e-117,-2.704633670129806e-116,-2.0881933835426025e-06,0.0
1.3280000000000002e-09,0.0,1.3849637090672506e-117,-2.6242127029117025e-116,-2.0881933835426025e-06,0.0
1.4280000000000002e-09,0.0,-1.146385253374841e-117,-2.545521908114797e-116,-2.0881933835426025e-06,0.0
1.5280000000000003e-09,0.0,1.0018116658270512e-117,-2.4697519609883073e-116,-2.0881933835426025e-06,0.0
1.6280000000000004e-09,0.0,-8.228268025260068e-118,-2.3957608802673123e-116,-2.0881933835426025e-06,0.0
1.7280000000000004e-09,0.0,7.254356264939664e-118,-2.3243909900743068e-116,-2.0881933835426025e-06,0.0
1.8280000000000005e-09,0.0,-5.898176163093783e-118,-2.2548037694598736e-116,-2.0881933835426025e-06,0.0
1.9280000000000004e-09,0.0,5.2603336152005715e-118,-2.187591394632399e-116,-2.0881933835426025e-06,0.0
2.0280000000000004e-09,0.0,-4.220620619944156e-118,-2.1221349779276628e-116,-2.0881933835426025e-06,0.0
2.1280000000000005e-09,0.0,3.821234549746e-118,-2.0588472750149273e-116,-2.0881933835426025e-06,0.0
2.2280000000000006e-09,0.0,-3.0132839527801965e-118,-1.997268557761204e-116,-2.0881933835426025e-06,0.0
2.3280000000000006e-09,0.0,2.782219646143433e-118,-1.9376830880230545e-116,-2.0881933835426025e-06,0.0
2.4280000000000007e-09,0.0,-2.1447630159915823e-118,-1.8797466590327917e-116,-2.0881933835426025e-06,0.0
2.5280000000000008e-09,0.0,2.0316781500619215e-118,-1.8236516968028472e-116,-2.0881933835426025e-06,0.0
2.628000000000001e-09,0.0,-1.5203520049901654e-118,-1.7691380153840956e-116,-2.0881933835426025e-06,0.0
2.728000000000001e-09,0.0,1.489157810912417e-118,-1.7163325812224928e-116,-2.0881933835426025e-06,0.0
2.828000000000001e-09,0.0,-1.0717952584027492e-118,-1.6650364799095066e-116,-2.0881933835426025e-06,0.0
2.928000000000001e-09,0.0,1.0966649919203913e-118,-1.6153301865191457e-116,-2.0881933835426025e-06,0.0
3.028000000000001e-09,0.0,-7.499013599933652e-119,-1.5670596192153014e-116,-2.0881933835426025e-06,0.0
3.128000000000001e-09,0.0,8.12393989647683e-119,-1.5202723928760906e-116,-2.0881933835426025e-06,0.0
3.2280000000000013e-09,0.0,-5.192195914236856e-119,-1.4748473700442337e-116,-2.0881933835426025e-06,0.0
3.3280000000000013e-09,0.0,6.062072671685533e-119,-1.4308090921808617e-116,-2.0881933835426025e-06,0.0
3.4280000000000014e-09,0.0,-3.5420287387532224e-119,-1.3880607604152698e-116,-2.0881933835426025e-06,0.0
3.5280000000000015e-09,0.0,4.5637770246061486e-119,-1.3466108608762194e-116,-2.0881933835426025e-06,0.0
3.6280000000000015e-09,0.0,-2.3644213193017583e-119,-1.3063806955410295e-116,-2.0881933835426025e-06,0.0
3.728000000000001e-09,0.0,3.47240466375268e-119,-1.2673677198033206e-116,-2.0881933835426025e-06,0.0
3.828000000000001e-09,0.0,-1.526729103184143e-119,-1.2295068076366458e-116,-2.0881933835426025e-06,0.0
3.928000000000001e-09,0.0,2.6750053951474616e-119,-1.1927879734341794e-116,-2.0881933835426025e-06,0.0
4.028000000000001e-09,0.0,-9.333860990450815e-120,-1.1571563679690384e-116,-2.0881933835426025e-06,0.0
4.1280000000000015e-09,0.0,2.090127979349391e-119,-1.1225971220314509e-116,-2.0881933835426025e-06,0.0
4.2280000000000015e-09,0.0,-5.155491973148045e-120,-1.089063259003915e-116,-2.0881933835426025e-06,0.0
4.328000000000002e-09,0.0,1.6590271535629072e-119,-1.0565368411537053e-116,-2.0881933835426025e-06,0.0
4.428000000000002e-09,0.0,-2.2363420101466985e-120,-1.024977004209527e-116,-2.0881933835426025e-06,0.0
4.528000000000002e-09,0.0,1.3393257395281866e-119,-9.943640236131456e-117,-2.0881933835426025e-06,0.0
4.628000000000002e-09,0.0,-2.1936119564285325e-121,-9.646618529139479e-117,-2.0881933835426025e-06,0.0
4.728000000000002e-09,0.0,1.1004463229053419e-119,-9.358498795403476e-117,-2.0881933835426025e-06,0.0
4.828000000000002e-09,0.0,1.1524826145225443e-120,-9.078959175453468e-117,-2.0881933835426025e-06,0.0
4.928000000000002e-09,0.0,9.203184024053949e-120,-8.80779090653488e-117,-2.0881933835426025e-06,0.0
5.028000000000002e-09,0.0,2.064150155666412e-120,-8.544703605829665e-117,-2.0881933835426025e-06,0.0
5.128000000000002e-09,0.0,7.830048722417145e-120,-8.289490151941047e-117,-2.0881933835426025e-06,0.0
5.228000000000002e-09,0.0,2.648672665648403e-120,-8.041886285892239e-117,-2.0881933835426025e-06,0.0
5.328000000000002e-09,0.0,6.769911433978539e-120,-7.801689402968599e-117,-2.0881933835426025e-06,0.0
5.428000000000002e-09,0.0,3.0016686185488988e-120,-7.568657307655324e-117,-2.0881933835426025e-06,0.0
