time,v(a),v(y),v(out),vdd#branch,va#branch
0.0,0.0,6.572177434151223e-102,6.572177434151223e-102,-1.8100115539709805e-06,0.0
1.0000000000000002e-12,0.0,-1.3321879195316925e-98,-6.8773194101990066e-102,-1.8099837575391575e-06,0.0
2.0000000000000004e-12,0.0,-1.062813999296535e-98,-1.7595041583312176e-101,-1.8099837575391575e-06,0.0
4.000000000000001e-12,0.0,-6.330018526864151e-99,-3.4671699945232326e-101,-1.8099837575391575e-06,0.0
8.000000000000001e-12,0.0,-2.071253685286338e-99,-5.1469943518337214e-101,-1.8100128613696143e-06,0.0
1.6000000000000003e-11,0.0,1.435752243783627e-101,-5.933294664031638e-101,-1.8099983094543859e-06,0.0
3.2000000000000006e-11,0.0,-4.65526092246396e-102,-5.830394339545858e-101,-1.8100237753060355e-06,0.0
6.400000000000001e-11,0.0,3.0681594157789325e-102,-5.6474586969466825e-101,-1.8100092233908072e-06,0.0
1.2800000000000002e-10,0.0,-2.125290513757446e-102,-5.2908495608497555e-101,-1.810010132885509e-06,0.0
2.2800000000000004e-10,0.0,2.072634687987269e-102,-4.782367179161174e-101,-1.8100105876328598e-06,0.0
3.2800000000000006e-10,0.0,-1.536116484379776e-102,-4.319944766724487e-101,-1.8100105876328598e-06,0.0
4.2800000000000007e-10,0.0,1.5222538371110737e-102,-3.904632109574387e-101,-1.8100105876328598e-06,0.0
5.28e-10,0.0,-1.1090668735541208e-102,-3.527200238636673e-101,-1.8100105876328598e-06,0.0
6.28e-10,0.0,1.1189791860108585e-102,-3.187998714188643e-101,-1.8100105876328598e-06,0.0
7.28e-10,0.0,-7.997461309054908e-103,-2.879925601982498e-101,-1.8100105876328598e-06,0.0
8.279999999999999e-10,0.0,8.23313206069763e-103,-2.6028963754689678e-101,-1.8100105876328598e-06,0.0
9.279999999999999e-10,0.0,-5.758766458453446e-103,-2.3514282789804885e-101,-1.8100105876328598e-06,0.0
1.028e-09,0.0,6.06396628584542e-103,-2.1251826753153492e-101,-1.8100105876328598e-06,0.0
1.128e-09,0.0,-4.1399822723037245e-103,-1.9199131949900558e-101,-1.8100105876328598e-06,0.0
1.228e-09,0.0,4.471369643940321e-103,-1.735146836158494e-101,-1.8100105876328598e-06,0.0
1.3280000000000002e-09,0.0,-2.9706523617215956e-103,-1.567584295526803e-101,-1.8100105876328598e-06,0.0
1.4280000000000002e-09,0.0,3.3011323430094844e-103,-1.4166961517351451e-101,-1.8100105876328598e-06,0.0
1.5280000000000003e-09,0.0,-2.126974715092066e-103,-1.2799108690548824e-101,-1.8100105876328598e-06,0.0
1.6280000000000004e-09,0.0,2.440468768244385e-103,-1.1566917979663595e-101,-1.8100105876328598e-06,0.0
1.7280000000000004e-09,0.0,-1.5190713403963006e-103,-1.0450284532446676e-101,-1.8100105876328598e-06,0.0
1.8280000000000005e-09,0.0,1.8068567110154747e-103,-9.444065897737289e-102,-1.8100105876328598e-06,0.0
1.9280000000000004e-09,0.0,-1.0817244755802664e-103,-8.532496425669113e-102,-1.8100105876328598e-06,0.0
2.0280000000000004e-09,0.0,1.3398897773916506e-103,-7.710822897711454e-102,-1.8100105876328598e-06,0.0
2.1280000000000005e-09,0.0,-7.676366911266132e-104,-6.966646402324466e-102,-1.8100105876328598e-06,0.0
2.2280000000000006e-09,0.0,9.953283394341959e-104,-6.2956818845610216e-102,-1.8100105876328598e-06,0.0
2.3280000000000006e-09,0.0,-5.425283173240819e-104,-5.688150934016165e-102,-1.8100105876328598e-06,0.0
2.4280000000000007e-09,0.0,7.407548460986345e-104,-5.140260332049348e-102,-1.8100105876328598e-06,0.0
2.5280000000000008e-09,0.0,-3.815722002913253e-104,-4.6442776912474536e-102,-1.8100105876328598e-06,0.0
2.628000000000001e-09,0.0,5.524000672485509e-104,-4.196891240805598e-102,-1.8100105876328598e-06,0.0
2.728000000000001e-09,0.0,-2.6680169781256325e-104,-3.791970937028926e-102,-1.8100105876328598e-06,0.0
2.828000000000001e-09,0.0,4.1282407657016813e-104,-3.4266563162628876e-102,-1.8100105876328598e-06,0.0
2.928000000000001e-09,0.0,-1.8522682024621056e-104,-3.096075914428361e-102,-1.8100105876328598e-06,0.0
3.028000000000001e-09,0.0,3.092212769769336e-104,-2.7977801800759672e-102,-1.8100105876328598e-06,0.0
3.128000000000001e-09,0.0,-1.2746552351740701e-104,-2.5278890293308767e-102,-1.8100105876328598e-06,0.0
3.2280000000000013e-09,0.0,2.321811305907157e-104,-2.2843193360919793e-102,-1.8100105876328598e-06,0.0
3.3280000000000013e-09,0.0,-8.674967169413974e-105,-2.063974056376902e-102,-1.8100105876328598e-06,0.0
3.4280000000000014e-09,0.0,1.747817409143797e-104,-1.8650917813924877e-102,-1.8100105876328598e-06,0.0
3.5280000000000015e-09,0.0,-5.8203425614768945e-105,-1.685195560511962e-102,-1.8100105876328598e-06,0.0
3.6280000000000015e-09,0.0,1.3192661601265094e-104,-1.5228030874319765e-102,-1.8100105876328598e-06,0.0
3.728000000000001e-09,0.0,-3.831965736759754e-105,-1.3759296801854164e-102,-1.8100105876328598e-06,0.0
3.828000000000001e-09,0.0,9.985914941964775e-105,-1.2433328864557993e-102,-1.8100105876328598e-06,0.0
3.928000000000001e-09,0.0,-2.458026191455418e-105,-1.1234197296451214e-102,-1.8100105876328598e-06,0.0
4.028000000000001e-09,0.0,7.5807018869676e-105,-1.0151523193092683e-102,-1.8100105876328598e-06,0.0
4.1280000000000015e-09,0.0,-1.5180993992632909e-105,-9.172500481022378e-103,-1.8100105876328598e-06,0.0
4.2280000000000015e-09,0.0,5.772159280400069e-105,-8.288484059827375e-103,-1.8100105876328598e-06,0.0
4.328000000000002e-09,0.0,-8.832199245209584e-106,-7.489163987076725e-103,-1.8100105876328598e-06,0.0
4.428000000000002e-09,0.0,4.408684237901231e-105,-6.767357130476374e-103,-1.8100105876328598e-06,0.0
4.528000000000002e-09,0.0,-4.614624988428329e-106,-6.114752011325252e-103,-1.8100105876328598e-06,0.0
4.628000000000002e-09,0.0,3.3779124183705197e-105,-5.525392947774975e-103,-1.8100105876328598e-06,0.0
4.728000000000002e-09,0.0,-1.875183258539614e-106,-4.992571321021364e-103,-1.8100105876328598e-06,0.0
4.828000000000002e-09,0.0,2.5964212924862532e-105,-4.511358259881507e-103,-1.8100105876328598e-06,0.0
4.928000000000002e-09,0.0,-1.5167595292276307e-107,-4.076332824461558e-103,-1.8100105876328598e-06,0.0
