time,v(a),v(y),v(out),vdd#branch,va#branch
0.0,0.0,1.928835777071511e-116,1.928835777071511e-116,-2.0881943783024326e-06,0.0
5e-13,0.0,-4.213106715305089e-113,-4.4479199734310006e-116,-2.0881861075849883e-06,0.0
1e-12,0.0,-3.756915355399164e-113,-1.0124875246389748e-115,-2.0881861075849883e-06,0.0
2e-12,0.0,-2.943312673983481e-113,-2.0230742536692112e-115,-2.0881861075849883e-06,0.0
4e-12,0.0,-1.792990385675023e-113,-3.4417575088308773e-115,-2.0881570037545316e-06,0.0
8e-12,0.0,-6.2043608612707695e-114,-4.854161919448635e-115,-2.0881861075849883e-06,0.0
1.6e-11,0.0,-8.546301388667709e-116,-5.491166888462732e-115,-2.088178831627374e-06,0.0
3.2e-11,0.0,3.372996502508787e-116,-5.243474502940609e-115,-2.088204297479024e-06,0.0
6.4e-11,0.0,-1.2801225594162912e-116,-4.7488508543768875e-115,-2.0881933835426025e-06,0.0
1.14e-10,0.0,1.5970968518494682e-116,-4.077766408039064e-115,-2.0881933835426025e-06,0.0
1.64e-10,0.0,-5.627098503938837e-117,-3.4961486956289444e-115,-2.0881933835426025e-06,0.0
2.1399999999999998e-10,0.0,9.034124310207098e-117,-3.001334072437354e-115,-2.0881933835426025e-06,0.0
2.6399999999999997e-10,0.0,-2.1899399289790666e-117,-2.5737911154875654e-115,-2.0881933835426025e-06,0.0
3.1399999999999995e-10,0.0,5.250092565945748e-117,-2.209130287505537e-115,-2.0881933835426025e-06,0.0
3.6399999999999993e-10,0.0,-6.080420062319166e-118,-1.8947161268993245e-115,-2.0881933835426025e-06,0.0
4.139999999999999e-10,0.0,3.1446395906282247e-117,-1.6260683642484363e-115,-2.0881933835426025e-06,0.0
4.639999999999999e-10,0.0,6.875097682733604e-119,-1.394781699870167e-115,-2.0881933835426025e-06,0.0
5.139999999999999e-10,0.0,1.9445129106673274e-117,-1.1969157816578234e-115,-2.0881933835426025e-06,0.0
5.639999999999999e-10,0.0,3.161510079210743e-118,-1.0267440772563068e-115,-2.0881933835426025e-06,0.0
6.139999999999999e-10,0.0,1.2409421051356115e-117,-8.810356909434065e-116,-2.0881933835426025e-06,0.0
6.64e-10,0.0,3.6928563508044085e-118,-7.5581219381038e-116,-2.0881933835426025e-06,0.0
7.14e-10,0.0,8.155328601406706e-118,-6.485253929249594e-116,-2.0881933835426025e-06,0.0
7.64e-10,0.0,3.4206694454348223e-118,-5.56368577157582e-116,-2.0881933835426025e-06,0.0
8.140000000000001e-10,0.0,5.499542370930688e-118,-4.773786217962067e-116,-2.0881933835426025e-06,0.0
8.640000000000001e-10,0.0,2.879178424724303e-118,-4.095521454308496e-116,-2.0881933835426025e-06,0.0
9.140000000000002e-10,0.0,3.789233637180106e-118,-3.5139913818270837e-116,-2.0881933835426025e-06,0.0
9.640000000000002e-10,0.0,2.305143899785703e-118,-3.014771203022589e-116,-2.0881933835426025e-06,0.0
1.0140000000000002e-09,0.0,2.6560741371798524e-118,-2.5866617251060517e-116,-2.0881933835426025e-06,0.0
1.0640000000000003e-09,0.0,1.7923672223395094e-118,-2.2192104670914532e-116,-2.0881933835426025e-06,0.0
1.1140000000000003e-09,0.0,1.886649490384695e-118,-1.904054755731583e-116,-2.0881933835426025e-06,0.0
1.1640000000000003e-09,0.0,1.368506779077214e-118,-1.633585666002161e-116,-2.0881933835426025e-06,0.0
1.2140000000000004e-09,0.0,1.3535455104498401e-118,-1.401586239600781e-116,-2.0881933835426025e-06,0.0
1.2640000000000004e-09,0.0,1.0326361765186726e-118,-1.2024993173422427e-116,-2.0881933835426025e-06,0.0
1.3140000000000004e-09,0.0,9.782364639408498e-119,-1.0317171088148427e-116,-2.0881933835426025e-06,0.0
1.3640000000000005e-09,0.0,7.731264745712024e-119,-8.851714857856309e-117,-2.0881933835426025e-06,0.0
1.4140000000000005e-09,0.0,7.107693907453169e-119,-7.594544484458822e-117,-2.0881933835426025e-06,0.0
1.4640000000000005e-09,0.0,5.757876472034938e-119,-6.515830070887517e-117,-2.0881933835426025e-06,0.0
1.5140000000000006e-09,0.0,5.184108735639638e-119,-5.590401902306405e-117,-2.0881933835426025e-06,0.0
1.5640000000000006e-09,0.0,4.272789517377407e-119,-4.7963615651836586e-117,-2.0881933835426025e-06,0.0
1.6140000000000006e-09,0.0,3.791419238255587e-119,-4.115138662512977e-117,-2.0881933835426025e-06,0.0
1.6640000000000007e-09,0.0,3.162911279510887e-119,-3.530644251935257e-117,-2.0881933835426025e-06,0.0
1.7140000000000007e-09,0.0,2.7782201355880915e-119,-3.0291865182717702e-117,-2.0881933835426025e-06,0.0
1.7640000000000007e-09,0.0,2.3373355257632546e-119,-2.5989380257959212e-117,-2.0881933835426025e-06,0.0
1.8140000000000008e-09,0.0,2.038552423061147e-119,-2.2298088052973233e-117,-2.0881933835426025e-06,0.0
1.8640000000000006e-09,0.0,1.7252071274229463e-119,-1.913100692191725e-117,-2.0881933835426025e-06,0.0
1.9140000000000006e-09,0.0,1.4972430733168128e-119,-1.6413805593472992e-117,-2.0881933835426025e-06,0.0
1.9640000000000007e-09,0.0,1.2723436341413998e-119,-1.408249785701582e-117,-2.0881933835426025e-06,0.0
2.0140000000000007e-09,0.0,1.1004090724134653e-119,-1.2082337928516724e-117,-2.0881933835426025e-06,0.0
2.0640000000000007e-09,0.0,9.378192625441403e-120,-1.0366246471437198e-117,-2.0881933835426025e-06,0.0
2.1140000000000008e-09,0.0,8.091336688337677e-120,-8.893909271718027e-118,-2.0881933835426025e-06,0.0
2.164000000000001e-09,0.0,6.909725087191645e-120,-7.630681866000327e-118,-2.0881933835426025e-06,0.0
2.214000000000001e-09,0.0,5.9515407814671856e-120,-6.546880711726577e-118,-2.0881933835426025e-06,0.0
2.264000000000001e-09,0.0,5.0895768523253076e-120,-5.617009401882135e-118,-2.0881933835426025e-06,0.0
2.314000000000001e-09,0.0,4.37863396075725e-120,-4.819213563016282e-118,-2.0881933835426025e-06,0.0
2.364000000000001e-09,0.0,3.748162062841893e-120,-4.13472799356075e-118,-2.0881933835426025e-06,0.0
2.414000000000001e-09,0.0,3.22194313601339e-120,-3.547463413341732e-118,-2.0881933835426025e-06,0.0
2.464000000000001e-09,0.0,2.7599184905336646e-120,-3.043608100458005e-118,-2.0881933835426025e-06,0.0
2.514000000000001e-09,0.0,2.3710791243008465e-120,-2.611317524608403e-118,-2.0881933835426025e-06,0.0
2.564000000000001e-09,0.0,2.0320439903258667e-120,-2.240425533033538e-118,-2.0881933835426025e-06,0.0
2.614000000000001e-09,0.0,1.7450522567441124e-120,-1.9222127141224266e-118,-2.0881933835426025e-06,0.0
2.664000000000001e-09,0.0,1.4960334043115467e-120,-1.6491960743438765e-118,-2.0881933835426025e-06,0.0
2.714000000000001e-09,0.0,1.2843835642574659e-120,-1.4149568969936338e-118,-2.0881933835426025e-06,0.0
2.7640000000000012e-09,0.0,1.1013603980536684e-120,-1.213987091809804e-118,-2.0881933835426025e-06,0.0
2.8140000000000012e-09,0.0,9.453611554215227e-121,-1.0415616411651307e-118,-2.0881933835426025e-06,0.0
2.8640000000000013e-09,0.0,8.107811406424133e-121,-8.936260985390107e-119,-2.0881933835426025e-06,0.0
2.9140000000000013e-09,0.0,6.958448937224121e-121,-7.667022635093156e-119,-2.0881933835426025e-06,0.0
2.9640000000000013e-09,0.0,5.968539214475184e-121,-6.578056779339403e-119,-2.0881933835426025e-06,0.0
3.0140000000000014e-09,0.0,5.121949538116336e-121,-5.643759705663014e-119,-2.0881933835426025e-06,0.0
3.0640000000000014e-09,0.0,4.393651854542744e-121,-4.842162844729731e-119,-2.0881933835426025e-06,0.0
3.1140000000000014e-09,0.0,3.7701952977427673e-121,-4.154418889730975e-119,-2.0881933835426025e-06,0.0
3.1640000000000015e-09,0.0,3.23428631835871e-121,-3.564356735109639e-119,-2.0881933835426025e-06,0.0
3.2140000000000015e-09,0.0,2.7752133934710443e-121,-3.058102617691499e-119,-2.0881933835426025e-06,0.0
3.2640000000000015e-09,0.0,2.3808276390531082e-121,-2.623752924331763e-119,-2.0881933835426025e-06,0.0
3.3140000000000016e-09,0.0,2.0428275267387263e-121,-2.2510950088161684e-119,-2.0881933835426025e-06,0.0
3.3640000000000016e-09,0.0,1.7525689815800034e-121,-1.9313665593291597e-119,-2.0881933835426025e-06,0.0
3.4140000000000017e-09,0.0,1.5037268840198584e-121,-1.65704993416618e-119,-2.0881933835426025e-06,0.0
3.4640000000000017e-09,0.0,1.2900919363252468e-121,-1.4216951414523906e-119,-2.0881933835426025e-06,0.0
3.5140000000000017e-09,0.0,1.1068979566519045e-121,-1.2197683680837602e-119,-2.0881933835426025e-06,0.0
3.5640000000000018e-09,0.0,9.496532630329976e-122,-1.0465217308750017e-119,-2.0881933835426025e-06,0.0
3.6140000000000018e-09,0.0,8.147927507519477e-122,-8.97881736375857e-120,-2.0881933835426025e-06,0.0
3.664000000000002e-09,0.0,6.9905070097756e-122,-7.703534330470534e-120,-2.0881933835426025e-06,0.0
3.714000000000002e-09,0.0,5.997736615257531e-122,-6.609382844752828e-120,-2.0881933835426025e-06,0.0
3.7640000000000015e-09,0.0,5.145786128895175e-122,-5.6706363013058415e-120,-2.0881933835426025e-06,0.0
3.814000000000001e-09,0.0,4.414973359662655e-122,-4.86522220289054e-120,-2.0881933835426025e-06,0.0
3.864000000000001e-09,0.0,3.7878642043069987e-122,-4.17420299293133e-120,-2.0881933835426025e-06,0.0
3.914e-09,0.0,3.249893342255037e-122,-3.5813309111476474e-120,-2.0881933835426025e-06,0.0
3.964e-09,0.0,2.7882826709282785e-122,-3.0726658701316515e-120,-2.0881933835426025e-06,0.0
4.0139999999999996e-09,0.0,2.392270887151367e-122,-2.6362477521144615e-120,-2.0881933835426025e-06,0.0
4.063999999999999e-09,0.0,2.05248035561184e-122,-2.2618151453076616e-120,-2.0881933835426025e-06,0.0
4.113999999999999e-09,0.0,1.7609692001781643e-122,-1.9405641040278564e-120,-2.0881933835426025e-06,0.0
4.1639999999999984e-09,0.0,1.5108490875210996e-122,-1.664941118750905e-120,-2.0881933835426025e-06,0.0
4.213999999999998e-09,0.0,1.2962634494421753e-122,-1.4284655298162965e-120,-2.0881933835426025e-06,0.0
4.263999999999998e-09,0.0,1.1121492461828017e-122,-1.2255771363945473e-120,-2.0881933835426025e-06,0.0
4.313999999999997e-09,0.0,9.541900156903775e-123,-1.0515054698165315e-120,-2.0881933835426025e-06,0.0
4.363999999999997e-09,0.0,8.186626794223194e-123,-9.021576200570814e-121,-2.0881933835426025e-06,0.0
4.4139999999999965e-09,0.0,7.02387079875947e-123,-7.740220047255923e-121,-2.0881933835426025e-06,0.0
4.463999999999996e-09,0.0,6.02624616684411e-123,-6.640857986399029e-121,-2.0881933835426025e-06,0.0
4.513999999999996e-09,0.0,5.17032922821908e-123,-5.697640963388557e-121,-2.0881933835426025e-06,0.0
4.563999999999995e-09,0.0,4.435971144781935e-123,-4.888391320395096e-121,-2.0881933835426025e-06,0.0
4.613999999999995e-09,0.0,3.805922220519379e-123,-4.1940813503638825e-121,-2.0881933835426025e-06,0.0
4.663999999999995e-09,0.0,3.265355987204956e-123,-3.598385893828318e-121,-2.0881933835426025e-06,0.0
4.713999999999994e-09,0.0,2.8015710261624365e-123,-3.08729849539238e-121,-2.0881933835426025e-06,0.0
4.763999999999994e-09,0.0,2.403656155121787e-123,-2.6488020684488873e-121,-2.0881933835426025e-06,0.0
4.8139999999999935e-09,0.0,2.062259812963189e-123,-2.2725863433377167e-121,-2.0881933835426025e-06,0.0
4.863999999999993e-09,0.0,1.7693515781875822e-123,-1.9498054418879316e-121,-2.0881933835426025e-06,0.0
4.913999999999993e-09,0.0,1.518046690331227e-123,-1.672869887911801e-121,-2.0881933835426025e-06,0.0
4.963999999999992e-09,0.0,1.3024346042688462e-123,-1.4352681563083076e-121,-2.0881933835426025e-06,0.0
5.013999999999992e-09,0.0,1.1174468768628799e-123,-1.2314135698697208e-121,-2.0881933835426025e-06,0.0
5.063999999999992e-09,0.0,9.587330742240567e-124,-1.0565129403450506e-121,-2.0881933835426025e-06,0.0
5.113999999999991e-09,0.0,8.225620088967851e-124,-9.064538677027046e-122,-2.0881933835426025e-06,0.0
5.163999999999991e-09,0.0,7.0573147922644624e-124,-7.777080458515324e-122,-2.0881933835426025e-06,0.0
5.2139999999999905e-09,0.0,6.054947910767887e-124,-6.672483025834973e-122,-2.0881933835426025e-06,0.0
5.26399999999999e-09,0.0,5.194948742561373e-124,-5.724774221736152e-122,-2.0881933835426025e-06,0.0
5.31399999999999e-09,0.0,4.457097943494668e-124,-4.911670777346513e-122,-2.0881933835426025e-06,0.0
5.363999999999989e-09,0.0,3.824045422549116e-124,-4.2140543697159875e-122,-2.0881933835426025e-06,0.0
5.413999999999989e-09,0.0,3.2809071917642223e-124,-3.6155220974923875e-122,-2.0881933835426025e-06,0.0
5.4639999999999886e-09,0.0,2.814911960900408e-124,-3.1020008026676384e-122,-2.0881933835426025e-06,0.0
5.513999999999988e-09,0.0,2.4151033168418754e-124,-2.6614161718146316e-122,-2.0881933835426025e-06,0.0
5.563999999999988e-09,0.0,2.072080338007966e-124,-2.2834088351823947e-122,-2.0881933835426025e-06,0.0
5.6139999999999874e-09,0.0,1.7777778217711186e-124,-1.9590907892695365e-122,-2.0881933835426025e-06,0.0
5.663999999999987e-09,0.0,1.52527573891298e-124,-1.6808364150339085e-122,-2.0881933835426025e-06,0.0
5.713999999999987e-09,0.0,1.3086371772364634e-124,-1.4421031784684636e-122,-2.0881933835426025e-06,0.0
5.763999999999986e-09,0.0,1.1227682801495408e-124,-1.237277797376154e-122,-2.0881933835426025e-06,0.0
5.813999999999986e-09,0.0,9.63298811626489e-125,-1.0615442575402334e-122,-2.0881933835426025e-06,0.0
5.8639999999999855e-09,0.0,8.264791590701693e-125,-9.107705748087242e-123,-2.0881933835426025e-06,0.0
5.913999999999985e-09,0.0,7.090923421353507e-125,-7.81411640679886e-123,-2.0881933835426025e-06,0.0
5.963999999999985e-09,0.0,6.083782487688856e-125,-6.70425866928561e-123,-2.0881933835426025e-06,0.0
6.013999999999984e-09,0.0,5.219688260873507e-125,-5.752036694211185e-123,-2.0881933835426025e-06,0.0
6.063999999999984e-09,0.0,4.478323371974903e-125,-4.935061095285069e-123,-2.0881933835426025e-06,0.0
6.113999999999984e-09,0.0,3.842256350740571e-125,-4.234122504595118e-123,-2.0881933835426025e-06,0.0
6.163999999999983e-09,0.0,3.296531435809679e-125,-3.632739906915137e-123,-2.0881933835426025e-06,0.0
6.213999999999983e-09,0.0,2.8283171580090574e-125,-3.116773125241302e-123,-2.0881933835426025e-06,0.0
6.2639999999999825e-09,0.0,2.426604468430034e-125,-2.6740903458929212e-123,-2.0881933835426025e-06,0.0
6.313999999999982e-09,0.0,2.081948005847445e-125,-2.2942828658556946e-123,-2.0881933835426025e-06,0.0
6.363999999999982e-09,0.0,1.7862439234064927e-125,-1.9684203552216152e-123,-2.0881933835426025e-06,0.0
