Reference,Value,Quantity,MPN_or_procurement_spec,Footprint,Function,Datasheet
U1,LMC662AIM,1,LMC662AIMX/NOPB,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"Dual CMOS TIA / attenuator; solder directly, no socket",https://www.ti.com/lit/ds/symlink/lmc662.pdf
R1,100M 1%,1,HVA05FA100M,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,100M axial 6x2.5mm body; tolerance calibrates,
C1,10p C0G,1,10p C0G,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,"TIA stability, tau=1ms nominal; real input capacitance must be tested",
J1,COLLECTOR / FCOM,1,COLLECTOR / FCOM,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,"1 collector, 2 inner guard at FCOM; outer shield to J4 chamber ground",
R2,40.2k 0.1%,1,40.2k 0.1%,Resistor_SMD:R_0805_2012Metric,Attenuator input,
R3,10.0k 0.1%,1,10.0k 0.1%,Resistor_SMD:R_0805_2012Metric,Attenuator feedback,
R4,15.0k 0.1%,1,15.0k 0.1%,Resistor_SMD:R_0805_2012Metric,VBIAS upper divider,
R5,10.0k 0.1%,1,10.0k 0.1%,Resistor_SMD:R_0805_2012Metric,VBIAS lower divider,
C2,1u 10V X7R,1,1u 10V X7R,Capacitor_SMD:C_0805_2012Metric,Quiet 1.32V filter,
R6,1.00k 0.1%,1,1.00k 0.1%,Resistor_SMD:R_0805_2012Metric,ADC midpoint divider upper / rail bleeder,
R7,1.00k 0.1%,1,1.00k 0.1%,Resistor_SMD:R_0805_2012Metric,ADC midpoint divider lower,
C3,10u 10V X7R,1,10u 10V X7R,Capacitor_SMD:C_0805_2012Metric,1.65V reference filter,
R8,820R,1,820R,Resistor_SMD:R_0805_2012Metric,ADC overload current limit; downstream of sensitive node,
C4,100n,1,100n,Capacitor_SMD:C_0805_2012Metric,ADC local RC filter,
D1,BAT54S,1,BAT54S,Package_TO_SOT_SMD:SOT-23,ADC-only Schottky clamp; never on SUM,https://assets.nexperia.com/documents/data-sheet/BAT54S.pdf
U2,ADS1115IDGS,1,ADS1115IDGSR,Package_SO:TSSOP-10_3x3mm_P0.5mm,Differential AIN0-AIN1; I2C0x48; PGA +/-256mV 128SPS defaults,https://www.ti.com/lit/ds/symlink/ads1115.pdf
R9,4.7k,1,4.7k,Resistor_SMD:R_0805_2012Metric,I2C pull-up,
R10,4.7k,1,4.7k,Resistor_SMD:R_0805_2012Metric,I2C pull-up,
R11,10k,1,10k,Resistor_SMD:R_0805_2012Metric,Optional ready open-drain pull-up,
C5,100n,1,100n,Capacitor_SMD:C_0805_2012Metric,ADC local bypass,
C6,1u 10V,1,1u 10V,Capacitor_SMD:C_0805_2012Metric,ADC local bulk bypass,
U3,MCP1700-3302E/TO,1,MCP1700-3302E/TO,Package_TO_SOT_THT:TO-92_Inline,3.3V ADC supply derived from +5V; max input6V,https://www.microchip.com/content/dam/mchp/documents/APID/ProductDocuments/DataSheets/MCP1700-Data-Sheet-20001826F.pdf
C7,1u 10V,1,1u 10V,Capacitor_SMD:C_0805_2012Metric,LDO input bypass,
C8,1u 10V,1,1u 10V,Capacitor_SMD:C_0805_2012Metric,LDO required output capacitor,
C9,100n,1,100n,Capacitor_SMD:C_0805_2012Metric,LMC positive rail local bypass,
C10,100n,1,100n,Capacitor_SMD:C_0805_2012Metric,LMC negative rail local bypass,
C11,10u 16V,1,10u 16V,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,Positive rail bulk; positive lead to+5V,
C12,10u 16V,1,10u 16V,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,Negative rail bulk; positive lead toFCOM,
